time,open,high,low,close,MA,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1770642000,6930.17,6938.42,6929.92,6935.18,6865.60500000001,,,,,6938.42,6929.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6916.994900000019,65.94338771978931,39.287228131463074,,,,
1770642900,6935.18,6938.19,6930.92,6932.17,6865.861700000009,,,,,6938.42,6929.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6917.898100000019,58.79576553703687,41.70008644640096,,,,
1770643800,6932.17,6932.68,6925.92,6927.68,6866.025900000011,,,,,6938.42,6925.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6918.772900000019,49.46504147615818,43.746699716086304,,,,
1770644700,6927.68,6928.93,6921.67,6922.69,6866.20210000001,,,,,6938.42,6921.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6919.53880000002,41.02380236844422,45.50769755545423,,,,
1770645600,6922.69,6924.93,6916.92,6920.43,6866.368750000011,,,,,6938.42,6916.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6920.251100000019,37.630643793576816,47.362214937416844,,,,
1770646500,6920.43,6921.94,6913.94,6919.69,6866.480500000011,,,,,6938.42,6913.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6921.050800000019,36.478066329011995,47.314568356983685,,,,
1770647400,6919.69,6940.99,6908.48,6937.34,6866.671700000011,,,,,6940.99,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6922.038300000019,65.70630104436302,49.46630316070468,,,,
1770648300,6937.34,6941.73,6923.47,6929.99,6866.881200000011,,,,,6941.73,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6922.95730000002,53.7015057598498,50.19866739930708,,,,
1770649200,6929.99,6944.97,6927.97,6943.49,6867.15075000001,,,,,6944.97,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6924.05630000002,66.72783432590565,52.15448132076504,,,,
1770650100,6943.49,6954.97,6942.72,6944.98,6867.420250000011,,,,,6954.97,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6925.12520000002,67.89110249607266,54.231676156579475,,,,
1770651000,6944.98,6963.24,6944.97,6960.98,6867.77095000001,,,,,6963.24,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6926.31800000002,77.67122314716934,55.98213800409891,,,,
1770651900,6960.98,6970.24,6958.22,6967.98,6868.14790000001,,,,,6970.24,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6927.604400000019,80.67557172195322,57.86061658215692,,,,
1770652800,6967.98,6971.98,6966.47,6968.98,6868.50985000001,,,,,6971.98,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6928.890700000019,81.09941889664559,60.114787008350845,,,,
1770653700,6968.98,6973.24,6966.47,6972.73,6868.87555000001,,,,,6973.24,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6930.199600000019,82.7542816632143,61.82599616279935,,,,
1770654600,6972.73,6975.74,6968.47,6975.48,6869.40995000001,,,,,6973.24,6908.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931.55610000002,83.95611586888663,63.11261960202059,,,,
1770655500,6975.48,6981.73,6975.48,6979.72,6870.05940000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6932.54430000002,85.74327416677498,65.03744164700188,,,,
1770656400,6979.72,6982.24,6977.98,6980.49,6870.701400000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6933.618200000019,86.07198527498619,67.65222334691816,,,,
1770657300,6980.49,6981.74,6976.98,6977.23,6871.3352000000095,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6934.7641000000185,77.2718461972975,70.2413693346934,,,,
1770658200,6977.23,6980.49,6973.97,6975.22,6871.96570000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6935.695000000019,71.97821098303109,72.694766991083,,,,
1770659100,6975.22,6975.73,6970.74,6971.23,6872.58145000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6936.516000000019,62.12216085375049,74.52648802856432,,,,
1770660000,6971.23,6975.24,6969.47,6974.72,6873.26090000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6937.429300000018,66.76606214486242,74.60218525002857,,,,
1770660900,6974.72,6975.49,6961.47,6968.23,6873.91415000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6938.120200000018,52.73825976415376,74.53338196462171,,,,
1770661800,6968.23,6977.72,6965.98,6975.97,6874.61725000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6938.913500000019,63.42911407784773,74.29775908976043,,,,
1770662700,6975.97,6977.73,6970.98,6972.49,6875.2027500000095,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6939.612000000019,56.70120568925321,73.49848074641618,,,,
1770663600,6972.49,6979.24,6970.72,6978.48,6875.935750000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6940.395300000019,64.30446333633631,72.54371218849954,,,,
1770664500,6978.48,6984.74,6977.72,6983.47,6876.883700000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6941.181200000018,69.50832455112126,71.74605167629726,,,,
1770665400,6983.47,6984.48,6980.73,6981.74,6877.83425000001,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6941.89460000002,65.63789824110586,70.6416573437587,,,,
1770666300,6981.74,6982.98,6979.24,6979.98,6878.712250000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6942.588000000019,61.56881888548487,69.1284100024923,,,,
1770667200,6979.98,6982.99,6978.98,6979.97,6879.617650000008,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6943.236300000019,61.54352835108551,67.52751089407795,,,,
1770668100,6979.97,6979.99,6968.99,6971.48,6880.5543500000085,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6943.791000000019,43.74511681211759,64.52764251160242,,,,
1770669000,6971.48,6974.22,6964.35,6971.97,6881.303550000008,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6944.359300000019,44.81964672335281,61.58104690077147,,,,
1770669900,6971.97,6975.98,6964.97,6964.97,6882.002750000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6944.821400000019,33.9967326275938,58.489967360078346,,,,
1770670800,6964.97,6970.94,6964.67,6970.18,6882.664150000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6945.36430000002,45.43752964314448,56.5942044072293,,,,
1770671700,6970.18,6970.92,6966.67,6968.43,6883.378150000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6945.90230000002,42.547439494104935,55.196010024397474,,,,
1770672600,6968.43,6969.69,6967.94,6969.68,6884.022100000007,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6946.39260000002,45.43941398811871,53.6726780132015,,,,
1770673500,6969.68,6970.43,6966.94,6968.27,6884.6490000000085,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6946.92130000002,42.616371414817266,52.949685988248895,,,,
1770678000,6968.27,6973.99,6965.14,6967.37,6885.335200000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6947.403500000019,40.73189997105745,51.32845640919244,,,,
1770678900,6967.37,6968.14,6964.88,6966.5,6886.032050000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6947.864600000019,38.79710077744054,50.04959177263439,,,,
1770679800,6966.5,6969.14,6963.75,6967.87,6886.785750000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6948.31180000002,43.70940414093895,48.5785161158203,,,,
1770680700,6967.87,6967.87,6960.75,6963.25,6887.523850000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6948.612900000019,33.21944577918413,45.98645334639621,,,,
1770681600,6963.25,6966.39,6958.38,6958.89,6888.275150000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6948.87530000002,26.27632390875452,43.17491232265684,,,,
1770682500,6958.89,6962.13,6958.74,6960.62,6888.920050000008,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949.183100000019,32.78011488552285,41.11857632265954,,,,
1770683400,6960.62,6962.14,6958.88,6959.12,6889.574900000008,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949.4984000000195,30.094528754071646,38.872219208587126,,,,
1770684300,6959.12,6964.14,6958.89,6962.63,6890.317350000009,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949.832800000019,42.87188865473582,38.80984576877414,,,,
1770685200,6962.63,6964.13,6961.62,6963.24,6891.051550000008,6964.13,6961.62,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949.909600000019,44.913371165290705,38.8165403717697,,,,
1770686100,6963.24,6964.64,6960.12,6960.89,6891.735350000008,6964.64,6960.12,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6949.994100000019,38.697974528565894,39.15234336469628,,,,
1770687000,6960.89,6965.39,6957.87,6964.63,6892.541550000008,6965.39,6957.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.05600000002,51.22943091883883,39.56605059867445,,,,
1770687900,6964.63,6967.64,6961.88,6965.13,6893.384000000008,6967.64,6957.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.13560000002,52.73638107108522,40.29383213988733,,,,
1770688800,6965.13,6965.38,6961.63,6963.39,6894.202700000008,6967.64,6957.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.1553000000185,46.8580828759967,40.39516563187861,,,,
1770689700,6963.39,6965.14,6961.12,6963.14,6895.031700000008,6967.64,6957.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.229800000019,45.99862676111379,40.63675529947121,,,,
1770690600,6963.14,6963.88,6957.37,6960.87,6895.901250000007,6967.64,6957.37,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.27170000002,38.51514989766041,40.47841600851428,,,,
1770691500,6960.87,6962.89,6959.5,6960.88,6896.848950000007,6967.64,6957.37,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.34110000002,38.56651694768188,40.46194573496009,,,,
1770692400,6960.88,6961.14,6957.12,6957.87,6897.784900000007,6967.64,6957.12,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.417900000019,29.818407040790007,39.46973165637803,,,,
1770693300,6957.87,6961.14,6956.87,6959.39,6898.722100000006,6967.64,6956.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.520000000019,38.09166924445428,39.81774761818304,,,,
1770694200,6959.39,6963.39,6958.87,6960.63,6899.671700000007,6967.64,6956.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.650900000019,44.33686578430778,41.1077863235797,,,,
1770695100,6960.63,6962.89,6960.13,6961.14,6900.688900000007,6967.64,6956.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.8055000000195,46.90685188203466,42.11683896618769,,,,
1770696000,6961.14,6965.39,6961.01,6964.37,6901.736550000007,6967.64,6956.87,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.982300000019,60.41214986509891,44.282383331261066,,,,
