time,open,high,low,close,MA,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1770868980,6962.59,6963.11,6962.35,6962.84,6951.785649999968,6963.11,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951.40900000002,70.30736993700229,71.71123022567632,,,,
1770869160,6962.84,6963.35,6961.34,6961.34,6951.864649999969,6963.35,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951.55880000002,46.24252213785155,71.28259747896674,,,,
1770869340,6961.34,6962.72,6961.34,6962.72,6951.954299999969,6963.35,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951.73250000002,60.68581363131945,70.36835814784072,,,,
1770869520,6962.72,6963.11,6962.34,6962.86,6952.027149999968,6963.35,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6951.912700000021,61.89746290136158,69.23309762862046,,,,
1770869700,6962.86,6965.86,6962.34,6964.34,6952.088749999969,6965.86,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952.090100000021,72.39164564710397,68.4616282365073,,,,
1770869880,6964.34,6964.86,6963.59,6964.86,6952.175349999968,6965.86,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952.26510000002,75.19235872459177,68.12425514870661,,,,
1770870060,6964.86,6966.86,6964.85,6966.11,6952.236999999968,6966.86,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952.4602000000195,80.68692075099003,68.65097915876065,,,,
1770870240,6966.11,6968.36,6965.84,6968.11,6952.264949999967,6968.36,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952.69770000002,86.33613404308521,69.26786811357628,,,,
1770870420,6968.11,6968.11,6967.1,6967.85,6952.3002499999675,6968.36,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6952.947600000019,82.66865643427198,69.63341771565366,,,,
1770870600,6967.85,6967.85,6964.73,6965.09,6952.341799999968,6968.36,6945.46,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6953.190000000019,54.1703505840653,68.74894820310188,,,,
