time,open,high,low,close,MA,Plot,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1770890340,1.18859,1.18874,1.18853,1.18859,1.1870538499999947,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1875920999999938,53.11049627258864,52.85319164157283,,,,
1770890460,1.18859,1.18859,1.18832,1.18854,1.1870576999999947,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1876163999999938,48.847242038828256,53.150224529806835,,,,
1770890580,1.18855,1.18869,1.18816,1.1882,1.1870597499999946,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1876353999999938,29.84277273801935,51.70627208110092,,,,
1770890700,1.18817,1.1884,1.18817,1.18821,1.1870625999999946,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1876544999999938,30.767037690899272,49.708423445454784,,,,
1770890820,1.1882,1.1884,1.18817,1.18824,1.1870656999999947,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1876747999999937,33.81863909830149,48.7239393878825,,,,
1770890940,1.18825,1.18827,1.18799,1.18799,1.1870675499999945,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.187692299999994,23.673746909977808,46.9604339812595,,,,
1770891060,1.18798,1.18804,1.1878,1.18787,1.1870678999999946,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1877077999999939,20.26881994585068,44.719488840768406,,,,
1770891180,1.18788,1.18799,1.18776,1.18785,1.1870678499999945,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1877237999999937,19.717395658155127,41.85450914923655,,,,
1770891300,1.18785,1.18786,1.1877,1.18774,1.1870678499999945,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1877373999999938,16.786921104603294,39.31685651499522,,,,
1770891420,1.18774,1.188,1.18772,1.18799,1.1870694499999945,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1877551999999938,40.30960876287339,37.725356821117714,,,,
1770891540,1.188,1.18807,1.18784,1.18807,1.1870729499999946,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1877727999999939,46.00763529678571,37.78483035725598,,,,
1770891660,1.18808,1.18825,1.18801,1.18822,1.1870778499999945,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1877890999999936,55.33458219727404,37.5508152316976,,,,
1770891780,1.18823,1.18825,1.18803,1.1882,1.1870822999999944,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1878084999999938,53.88656674539907,37.592047145797984,,,,
1770891900,1.18822,1.18822,1.18798,1.18809,1.1870862499999946,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1878257999999937,46.13916967747103,37.03647386693051,,,,
1770892020,1.1881,1.1881,1.18797,1.18805,1.1870905499999944,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1878408999999936,43.48672635968682,36.34906173029466,,,,
1770892140,1.18806,1.18815,1.18801,1.18811,1.1870960999999944,,,1.18878,1.1862,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1878556999999936,48.65248181795589,36.33515028594663,,,,
